ID,UTTERANCES,IOB SLOT TAGS
0,who plays luke on star wars new hope,O O B_char O B_movie I_movie I_movie I_movie
1,show credits for the godfather,O O O B_movie I_movie
2,who was the main actor in the exorcist,O O O O O O B_movie I_movie
3,find the female actress from the movie she's the man,O O O O O O O B_movie I_movie I_movie I_movie
4,who played dory on finding nemo,O O B_char O B_movie I_movie
5,who was the female lead in resident evil,O O O O O O B_movie I_movie
6,who played guido in life is beautiful,O O B_char O B_movie I_movie I_movie
7,who was the co-star in shoot to kill,O O O O O B_movie I_movie I_movie
8,find the guy who plays charlie on charlie's angels,O O O O O B_char O B_movie I_movie
9,cast and crew of movie the campaign,O O O O O B_movie I_movie
10,cast and crew of the campaign,O O O O B_movie I_movie
11,who plays in the movie the campaign,O O O O O B_movie I_movie
12,who starred in the campaign,O O O B_movie I_movie
13,who were the crew for the campaign,O O O O O B_movie I_movie
14,who was the lead man in taxi driver,O O O O O O B_movie I_movie
15,star of twilight,O O B_movie
16,who stars in vulgaria,O O O B_movie
17,what are the names of female actors who played in lost,O O O O O O O O O O B_movie
18,can i see the set list and cast for life is beautiful,O O O O O O O O O B_movie I_movie I_movie
19,cast and crew of life is beautiful,O O O O B_movie I_movie I_movie
20,show cast and crew for the movie life is beautiful,O O O O O O O B_movie I_movie I_movie
21,what's the cast for life is beautiful,O O O O B_movie I_movie I_movie
22,who played in life is beautiful,O O O B_movie I_movie I_movie
23,who played in life is beautiful,O O O B_movie I_movie I_movie
24,who was in life is beautiful,O O O B_movie I_movie I_movie
25,who were roberto benigni's costars on life is beautiful,O O O O O O B_movie I_movie I_movie
26,i am looking for the actor that played in pretty women,O O O O O O O O O B_movie I_movie
27,star of troy,O O B_movie
28,who played robin in batman forever,O O B_char O B_movie I_movie
29,find the male actor from dirty harry,O O O O O B_movie I_movie
30,show me the actor of the ranam,O O O O O O B_movie
31,rocky actor,B_movie O
32,what actor played in the amazing spider man,O O O O B_movie I_movie I_movie I_movie
33,who are the actors in captain america,O O O O O B_movie I_movie
34,who starred in captain america,O O O B_movie I_movie
35,who was in the movie captain america,O O O O O B_movie I_movie
36,who were the cast members in the hobbist,O O B_movie O O O B_movie I_movie
37,show me the actor of the movie varsham,O O O O O O O B_movie
38,which female actors starred in hitch,O O O O O B_movie
39,can i see the cast and crew for the movie in july,O O O O O O O O O O B_movie I_movie
40,list cast and crew in july,O O O O B_movie I_movie
41,who stars in in july,O O O B_movie I_movie
42,who stars in in july,O O O B_movie I_movie
43,roll credits for top gun,O O O B_movie I_movie
44,show me the actor of the movie sirisiri muvva,O O O O O O O B_movie I_movie
45,rocky 2 actor,B_movie I_movie O
46,who is chewbakka,O O B_char
47,who stared in i love lucy,O O O B_movie I_movie I_movie
48,apollo thirteen cast members,B_movie I_movie O O
49,can you tell me more about the cast and crew of the movie apollo thirteen,O O O O O O O O O O O O O B_movie I_movie
50,cast and crew for apollo thirteen,O O O O B_movie I_movie
51,castmembers of apollo thirteen,O O B_movie I_movie
52,complete cast and crew of apollo thirteen,O O O O O B_movie I_movie
53,find for information about the cast of appolo thirteen,O O O O O O O B_movie I_movie
54,find info on the crew of apollo thirteen,O O O O O O B_movie I_movie
55,give me more facts about the cast and crew of the movie apollo thirteen,O O O O O O O O O O O O B_movie I_movie
56,i need to know in detail about the cast and crew of the movie apollo thirteen,O O O O O O O O O O O O O O B_movie I_movie
57,i want to find information about the cast of apollo thirteen,O O O O O O O O O B_movie I_movie
58,show me more information about the cast and crew of the movie apollo thirteen,O O O O O O O O O O O O B_movie I_movie
59,what actors were in dirty dancing,O O O O B_movie I_movie
60,show me the actors in captain america,O O O O O B_movie I_movie
61,show me gilda's credits,O O B_movie O O
62,i can't remember the lead guy in the avengers,O O O B_movie O O O B_movie I_movie
63,show cast list for the avergers,O O O O B_movie I_movie
64,who plays nemo in finding nemo,O O B_char O B_movie B_movie
65,find cast and crew for the movie finding nemo,O O O O O O O B_movie I_movie
66,show me the cast and crew for finding nemo,O O O O O O O B_movie I_movie
67,show me the cast of finding nemo,O O O O O B_movie I_movie
68,who are the main voices in finding nemo,O O O O O O B_movie I_movie
69,who starred in finding nemo,O O O B_movie I_movie
70,who stars in finding nemo,O O O B_movie I_movie
71,who was the main character in men in black 3,O O O O O O B_movie I_movie I_movie I_movie
72,can i see the credits for dirty dancing,O O O O O O B_movie I_movie
73,cast of dirty dancing,O O B_movie I_movie
74,find cast and crew for dirty dancing,O O O O O B_movie I_movie
75,search cast and crew for dirty dancing,O O O O O B_movie I_movie
76,search for the cast and crew for the movie dirty dancing,O O O O O O O O O B_movie I_movie
77,show me the cast and list for dirty dancing,O O O O O O O B_movie I_movie
78,who starred in dirty dancing,O O O B_movie I_movie
79,who starred in dirty dancing,O O O B_movie I_movie
80,who were the stars of dirty dancing,O O O O O B_movie I_movie
81,who was the male star of titanic,O O O O O O B_movie
82,who starred in taxi,O O O B_movie
83,who played in the oranges,O O O B_movie I_movie
84,actors for life is beautiful,O O B_movie I_movie I_movie
85,who are the lead actors in life is beautiful,O O O O O O B_movie I_movie I_movie
86,find the male actor from the movie born free,O O O O O O O B_movie I_movie
87,actor from iron man,O O B_movie I_movie
88,shows actors in shoot to kill,O O O B_movie I_movie I_movie
89,which actors starred in hitch,O O O O B_movie
90,who are all of the actors in hitch,O O O O O O O B_movie
